Index: 125, SMILES: CCCCCCCCC(=O)OCCCCCC, Num Nodes: 17, Num Edges: 32
Index: 126, SMILES: CCCCCC1CCCC1=O, Num Nodes: 11, Num Edges: 22
Index: 127, SMILES: CC(C)=CCCC(C)CCOC=O, Num Nodes: 13, Num Edges: 24
Index: 128, SMILES: CCCC=CCOC(=O)CCCCC, Num Nodes: 14, Num Edges: 26
Index: 129, SMILES: CCC=CCCCCC=O, Num Nodes: 10, Num Edges: 18
Index: 130, SMILES: CCCC(CCOC(C)=O)SC(C)=O, Num Nodes: 14, Num Edges: 26
Index: 131, SMILES: CCCCCC(=O)OCC(C)C, Num Nodes: 12, Num Edges: 22
Index: 132, SMILES: CC1CCC(=O)O1, Num Nodes: 7, Num Edges: 14
Index: 133, SMILES: CCCOC(C)OCC, Num Nodes: 9, Num Edges: 16
Index: 134, SMILES: Cc1cncc(C)n1, Num Nodes: 8, Num Edges: 16
Index: 135, SMILES: CCC=CCC1CCCC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 136, SMILES: O=CC=Cc1ccco1, Num Nodes: 9, Num Edges: 18
Index: 137, SMILES: CC=C(C=O)c1ccccc1, Num Nodes: 11, Num Edges: 22
Index: 138, SMILES: CCOc1nccs1, Num Nodes: 8, Num Edges: 16
Index: 139, SMILES: CC1=C2CCC(C)CC2OC1=O, Num Nodes: 12, Num Edges: 26
Index: 140, SMILES: CC1=C(CC=O)C(C)(C)CCC1, Num Nodes: 12, Num Edges: 24
Index: 141, SMILES: CCOC(C)OC(C)C, Num Nodes: 9, Num Edges: 16
Index: 142, SMILES: CC(=CC#N)CCc1ccccc1, Num Nodes: 13, Num Edges: 26
Index: 143, SMILES: C=CCOC(=O)CCCCCCCC, Num Nodes: 14, Num Edges: 26
Index: 144, SMILES: CCCCC=CC=CC=O, Num Nodes: 10, Num Edges: 18
Index: 145, SMILES: CCc1ncc(C)nc1C, Num Nodes: 10, Num Edges: 20
Index: 146, SMILES: CSCCCCO, Num Nodes: 7, Num Edges: 12
Index: 147, SMILES: CC(C)C(=O)OC1CC2CCC1(C)C2(C)C, Num Nodes: 16, Num Edges: 34
Index: 148, SMILES: CCCCCC1CC=CC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 149, SMILES: CCOC(C)OCC(C)CC, Num Nodes: 11, Num Edges: 20
Index: 150, SMILES: C=C1C2CCC(C2)C1(C)C, Num Nodes: 10, Num Edges: 22
Index: 151, SMILES: CCOC(=O)C(C)CC, Num Nodes: 9, Num Edges: 16
